order_id,isbn
40858,1-311-21322-8
45826,1-328-10574-1
51129,0-7892-9181-9
42044,0-00-766609-8
95978,0-13-178345-9
16751,1-09-542866-7
14568,0-85558-612-5
13474,0-08-886950-4
55817,1-108-90773-3
72453,1-69286-405-X
88498,0-11-739238-3
94548,1-59943-106-8
88009,0-88180-494-0
24234,0-358-87721-0
3019,0-05-899175-1
49955,1-9833-2515-5
87310,0-7161-3400-4
48540,0-13-005410-0
92041,0-14-302699-2
33086,0-18-772925-5
11125,1-07-831785-2
98717,0-542-94811-7
56622,0-15-496793-9
90011,1-242-18743-X
95700,0-560-66590-3
39774,0-946136-51-3
76605,0-455-31022-X
88252,1-283-57957-X
54185,1-262-10944-2
96106,1-02-700880-1
832,1-144-93872-4
41068,1-364-92027-1
9613,0-374-58894-5
29367,0-8149-9167-X
35505,0-652-83482-5
95017,0-618-07794-4
63591,0-565-16469-4
19327,0-7319-7455-7
35590,1-5086-8941-5
38535,1-367-77556-6
49441,1-263-81544-8
82934,1-122-43307-7
39643,1-60310-221-3
1040,0-370-76639-3
1050,1-64674-943-X
24949,1-5371-3682-8
44807,0-556-70108-9
30793,1-71278-881-7
55332,0-09-361939-1
72712,0-419-27064-7
85765,0-7170-0205-5
76601,0-06-343186-6
30146,0-613-54053-0
32926,0-7526-4270-7
2562,0-588-58922-5
65972,1-4638-9267-5
10935,1-380-61553-4
99281,0-602-75565-4
34995,0-9900917-4-0
8832,1-993166-75-0
5467,1-164-08161-6
33531,0-15-512216-9
34347,1-64335-972-X
79256,1-7360152-1-4
74347,0-18-049881-9
72334,1-5384-0769-8
78820,1-4705-0444-8
95889,1-76675-091-5
76228,1-903081-54-8
6715,1-997709-89-9
81767,1-74013-390-0
86440,1-192-23616-5
83559,0-7874-7793-1
84201,1-79596-118-X
69047,1-943353-80-8
4001,1-881943-90-9
20727,1-246-13963-4
59881,0-244-42877-8
24993,1-08-379886-3
26119,0-89932-220-4
80142,1-5201-0922-9
93702,0-938782-01-0
28324,0-609-86373-8
70112,1-947135-60-0
61339,0-05-947060-7
35527,0-8215-6424-2
7271,1-56154-484-1
29745,1-967374-33-3
55072,0-304-55137-6
94570,0-9551254-2-1
94987,1-85769-012-5
43206,1-272-13250-1
5717,0-7854-8870-7
10004,1-247-57519-5
43875,0-88719-281-5
40910,0-698-35932-1
4812,0-18-819184-4
63024,0-9788258-7-X
19318,0-331-46403-9
65491,1-328-04792-X
89484,1-60514-759-1
47090,1-950148-31-9
36729,0-05-601778-2
86344,1-86164-590-2
37848,1-55549-856-6
58473,0-06-268404-3
33611,1-5386-0235-0
24028,1-07-872715-5
17973,1-05-349107-7
73003,0-234-45274-9
81682,0-945005-91-1
2497,0-9956681-4-0
34568,0-06-058484-X
81453,0-8007-6720-9
64959,1-76985-630-7
90498,1-59334-207-1
28628,1-58279-520-7
49220,1-02-171986-2
42367,0-12-960483-6
60655,0-89323-464-8
68189,0-7617-3952-1
42993,1-77519-157-5
46968,1-59066-852-9
72866,1-55647-827-5
18124,0-329-67496-X
56003,1-221-09160-3
40096,0-86811-639-4
40927,1-930168-85-3
29621,1-00-881946-8
99463,0-285-80580-0
79734,1-215-53584-8
24400,0-9737173-5-1
38615,0-354-78097-2
13324,0-565-92740-X
36970,1-871889-91-X
40543,0-944076-01-7
14401,1-59036-904-1
78131,1-83763-699-0
57599,1-05-136035-8
27924,0-934959-86-2
8361,1-4636-3242-8
69037,1-4852-3682-7
3115,0-7000-3069-7
82539,1-74361-279-6
6528,0-8144-2105-9
29288,0-313-42921-9
12918,0-14-317542-4
13368,0-616-17903-0
38638,1-4787-0462-4
59437,1-905692-14-5
5584,1-5200-7230-9
54544,0-505-55881-5
19928,1-68514-802-6
7015,1-81525-150-6
48578,1-284-18658-X
85629,0-7894-1875-4
85404,0-290-98019-4
65768,0-7570-4870-6
47996,0-501-70390-X
81299,1-02-834420-1
17126,1-4716-9313-9
93787,0-7056-2911-2
81646,0-541-42677-X
96894,0-676-53032-X
19649,0-231-62455-7
84467,0-7895-2005-2
23344,0-449-63119-2
52585,0-7254-5751-1
82627,0-269-20808-9
33349,0-217-90729-6
5959,1-67047-430-5
94090,1-67489-288-8
91756,0-528-85749-5
98612,0-16-177788-0
48047,0-655-95010-9
88484,1-82640-984-X
63942,0-05-769295-5
73668,0-15-657879-4
72056,1-69519-692-9
6785,1-5253-3996-6
55237,1-81328-768-6
84103,0-87882-224-0
36301,1-05-174163-7
19798,1-250-41664-7
93502,1-84850-301-6
13417,0-13-911131-X
31579,1-02-635853-1
41331,0-8231-0667-5
24455,0-928281-22-1
50060,0-466-01616-6
41494,1-176-35169-9
95911,1-155-74523-X
53139,1-65841-001-7
50768,0-15-671793-X
11434,1-86461-909-0
4477,0-09-089139-2
44941,0-16-730930-7
22064,0-10-768270-2
9679,0-7623-8994-X
93458,1-00-953958-2
95360,1-989955-78-9
23038,0-614-57531-1
86771,1-72576-956-5
15700,1-68375-745-9
49341,1-326-57424-8
37499,1-69978-988-6
91136,1-76982-434-0
81105,1-126-99057-4
37482,1-872289-99-1
85085,1-66722-751-3
96168,0-545-94799-5
8410,1-212-75550-2
18628,1-218-26570-1
40269,1-84075-734-5
62871,1-72757-811-2
39718,1-62305-102-9
47312,1-77756-665-7
23808,0-86587-083-7
27041,0-85607-298-2
60654,0-401-05768-2
44067,1-09-045144-X
87689,0-7625-0927-9
46657,0-426-33227-X
90583,1-228-31447-0
81684,0-402-99600-3
65780,1-7328472-5-8
60611,1-81426-828-6
87671,1-78743-813-9
38378,1-70274-840-5
11604,0-932826-20-2
86783,1-04-260255-7
35183,0-89107-847-9
57227,0-09-614489-0
14048,1-384-04863-4
74330,0-8037-0831-9
58711,1-113-14061-5
5914,1-229-36356-4
50593,1-70929-539-2
68224,1-82666-400-9
86111,1-02-789062-8
5870,0-400-66474-7
8773,1-4094-8029-1
72862,0-8494-6799-3
29343,1-07-371411-X
93876,0-04-489817-7
69633,0-89531-106-2
37307,0-914872-73-7
59551,0-321-75091-8
28398,1-370-34884-3
58819,1-83481-216-X
64106,1-292-14728-8
14142,0-582-64252-3
23440,0-19-815153-5
93537,0-621-41100-0
56699,0-600-02364-8
28621,1-9815-0605-5
17750,1-338-07488-1
96529,1-309-06399-0
39462,1-375-61033-3
60514,1-5438-6112-1
11418,1-385-36449-1
13557,0-699-96592-6
99262,1-85758-860-6
37790,1-172-16374-X
52669,0-503-99323-9
75801,0-86393-520-6
38673,1-80285-868-7
37241,0-07-370124-6
44018,0-913663-17-4
35441,0-670-20147-2
978,0-18-214643-X
26479,0-425-00155-5
12927,0-10-971874-7
68726,0-422-22561-4
82824,1-387-12748-9
36530,0-17-197180-9
54480,0-03-883359-X
32614,1-870238-82-6
72336,0-357-85125-0
25585,0-12-952483-2
90554,1-4264-7446-6
59879,1-86319-109-7
22070,1-67642-653-1
26917,0-307-10474-5
42802,0-697-66422-8
84327,1-07-435354-4
14589,0-02-963426-1
50749,0-02-402265-9
88252,0-01-210510-4
17674,0-359-40667-X
41487,0-7492-5427-0
67959,0-644-51439-6
17391,0-488-93691-8
82021,0-89809-175-6
74533,1-67864-935-X
96301,0-929359-33-X
93137,0-01-147716-4
30072,1-55497-013-X
25927,0-526-83866-3
56500,1-365-09082-5
70169,0-585-83279-X
11271,1-4426-5583-6
57991,1-244-18335-0
48654,1-207-35215-2
92126,1-4611-1706-2
21838,0-7210-0431-8
23474,1-160-46370-0
53530,0-666-87838-2
84922,0-915537-55-9
46489,1-08-710248-0
45347,1-5372-3035-2
77740,1-343-42722-3
40889,1-288-70048-2
57466,1-120-40159-3
18023,1-06-797012-6
14468,0-690-10145-7
69048,1-09-349486-7
4485,1-06-428827-8
30417,1-301-11027-2
40664,1-900279-48-7
94078,1-289-75864-6
38951,0-13-360333-4
17063,0-9544733-5-3
51064,1-75489-182-9
9478,1-898971-41-2
36692,0-12-261603-0
9765,0-478-76370-0
10801,0-10-459409-8
30806,1-77153-538-5
43921,1-08-773323-5
52796,1-228-98200-7
34017,0-571-84226-7
92201,0-229-18524-X
87206,1-4028-4227-9
22498,0-229-81785-8
13683,1-76734-047-8
88601,1-143-26368-5
66028,1-77368-285-7
76119,0-253-28662-X
72509,0-17-254371-1
51351,1-78695-804-X
24334,0-932296-62-9
96384,0-552-13812-6
35714,1-4163-7676-3
40993,1-80981-717-X
58450,1-165-63335-3
72483,0-569-18991-8
88833,1-76077-068-X
9117,0-598-04603-8
83143,1-288-16406-8
1517,0-274-65213-7
75282,1-368-30653-5
18156,0-7267-7963-6
84296,0-637-64806-4
80638,1-06-286189-2
42191,0-289-66645-7
8659,1-4204-3551-5
98754,0-87329-198-0
20633,1-63480-048-6
61441,1-916696-05-8
83624,1-302-32840-9
31729,0-02-681077-8
66799,1-67733-194-1
40133,0-509-86433-3
68590,0-512-92497-X
82231,0-667-75607-8
24994,1-63460-437-7
52445,0-305-91342-5
2782,0-00-290319-9
53228,1-222-08554-2
12718,0-286-92271-1
57458,0-06-541212-5
47537,0-18-236520-4
57529,0-487-92677-3
40756,0-904939-95-2
15218,1-86623-396-3
35385,0-12-124989-1
66500,1-897329-57-1
65144,1-08-516952-9
86395,0-524-24326-3
76096,1-58302-699-1
63936,0-7919-3128-5
39875,1-209-47868-4
89967,0-05-803243-6
9460,0-03-965541-5
61937,0-461-13979-0
13251,0-238-54598-9
7224,1-03-351725-9
60264,0-03-127652-0
51027,1-4470-5155-6
303,1-353-98031-6
36868,0-947563-21-0
72153,1-4756-5161-9
96001,0-614-81891-5
64836,0-404-95034-5
50503,0-7607-6887-0
44026,0-577-36538-X
43543,1-71792-247-3
26343,0-04-795907-X
68339,1-970945-15-X
29927,0-16-615632-9
33838,1-265-99239-8
39550,1-72450-483-5
68067,1-64810-835-0
31050,1-328-17887-0
33945,0-632-56825-9
74816,1-104-24950-2
53379,0-909297-04-5
57820,1-78206-041-3
68156,0-510-13984-1
46323,1-207-64765-9
28251,1-968362-07-X
61915,1-61445-924-X
59165,1-147-41211-1
72598,0-206-00142-8
58773,1-60535-266-7
71954,1-4797-4857-9
73527,0-7245-1828-2
51989,0-463-77494-9
56278,1-286-74610-8
26661,0-7296-9823-8
17741,1-196-34794-8
1164,1-936947-20-X
96473,1-362-76793-X
31531,0-7880-9228-6
22190,1-5079-2736-3
22579,1-115-64891-8
5057,0-534-69934-0
21086,0-7118-4367-8
59242,1-872559-25-5
71360,1-66468-471-9
27193,1-354-21198-7
17269,1-79803-935-4
13002,1-65505-185-7
98674,1-59716-478-X
59048,1-183-59966-8
8591,0-7978-2979-2
81060,0-472-17053-8
50577,1-69557-289-0
35463,1-391-44974-6
84560,0-02-370635-X
24969,0-8110-9111-2
20581,1-64327-820-7
3278,1-78954-660-5
70898,0-232-65359-3
60364,1-4119-0074-X
30606,0-403-32849-7
15299,0-346-71013-8
38796,1-5331-2822-7
62274,1-9850-5988-6
7763,0-8279-9356-0
43446,0-946161-60-7
61282,0-7441-8068-6
18023,0-241-56429-8
58220,0-02-935435-8
62540,1-09-375831-7
36146,1-140-95404-0
42336,0-488-42982-X
75110,1-55048-777-9
51697,1-4629-9219-6
13827,1-261-87942-2
63043,1-9843-7738-8
370,0-9946219-1-4
44153,1-81855-124-1
74418,0-284-24701-4
83144,0-8124-8133-X
79245,0-7911-5204-9
48850,1-06-329392-8
82061,1-74815-755-8
72920,1-218-93566-9
96753,1-84734-221-3
76262,1-4971-9688-4
12302,0-89748-869-5
80582,1-958061-04-2
31610,0-900128-21-6
79121,1-137-45045-2
106,1-4947-1881-2
26236,1-64660-860-7
52456,1-63982-328-X
70210,0-917417-04-6
69776,1-63722-679-9
9909,1-5350-4830-1
61849,0-87499-333-4
13068,0-14-164750-7
982,0-9743353-8-X
54926,0-585-83144-0
85845,0-7016-7033-9
49486,0-03-062854-7
44785,1-115-35253-9
90742,0-7149-9988-1
36163,1-68224-508-X
54015,0-685-39722-X
67791,0-11-545728-3
68204,1-57121-963-3
52007,0-19-129327-X
2906,0-905502-43-4
12044,0-587-85423-5
27443,1-79161-972-X
60331,1-69360-986-X
54187,1-272-87052-9
2788,0-591-51505-9
93388,0-410-84082-3
6083,0-934004-97-8
53482,0-18-749830-X
33964,1-4165-5873-X
74171,0-445-17153-7
9693,0-9509444-5-9
5682,1-81784-095-9
3639,1-4656-9100-6
82399,1-190-79819-0
29736,1-74933-846-7
30731,0-8103-0347-7
5025,1-215-27772-5
76934,0-506-62871-X
32416,1-5227-0643-7
41740,0-12-714326-2
16993,0-450-71341-5
53255,1-86356-193-5
48457,1-222-59330-0
59406,0-01-996599-0
68375,1-4435-9124-6
23220,1-230-35981-8
82299,0-9761998-0-7
39878,1-343-91978-9
1358,1-277-42074-2
53245,1-05-621660-3
78678,1-281-91439-8
5186,1-57471-229-2
66183,1-59199-109-9
41194,1-4410-7057-5
97093,1-65742-972-5
56772,1-06-011357-0
30969,1-347-51065-6
25716,0-7530-8501-1
15595,1-924229-01-3
75866,0-87393-713-9
23984,0-12-143592-X
12234,0-230-69814-X
91088,1-86516-198-5
2091,0-931929-99-7
84097,0-370-98200-2
78084,1-7352274-3-9
25396,0-16-907411-0
71618,1-140-64528-5
64405,0-319-52696-8
17326,1-66939-123-X
18984,0-654-10798-X
23067,1-120-97004-0
95084,0-256-66675-X
69068,1-954439-96-2
70912,1-65212-339-3
37554,0-299-40126-X
17807,1-152-96070-9
56573,1-964499-17-8
42461,1-935459-23-6
20844,0-212-06062-7
24490,0-85556-915-8
16402,1-873749-47-3
63243,1-261-59606-4
17035,1-954197-94-2
49168,0-455-71854-7
34420,0-574-92087-0
66775,1-67389-294-9
91894,1-269-62169-6
33327,0-910544-17-4
41693,1-57931-828-2
19577,0-7965-6643-7
92895,0-303-10352-3
86346,0-315-94904-X
59314,1-938594-09-6
11302,0-376-60603-7
39129,0-12-078824-1
23287,1-4257-5445-7
88164,1-337-25337-5
54399,0-383-06575-5
7112,1-56236-460-X
89344,1-190-08706-5
98467,1-72617-795-5
36425,0-383-15463-4
68333,1-4141-3171-2
16402,0-11-365196-1
84718,0-00-206759-5
32173,0-596-07541-3
77699,1-82665-031-8
21168,1-4274-8417-1
30248,1-349-10653-4
9495,1-04-655345-3
11466,1-67568-214-3
38887,1-64477-126-8
75765,0-8471-6650-3
34596,0-16-834305-3
68955,0-279-94400-4
3745,0-350-17235-8
27477,1-965637-32-9
30575,0-11-405273-5
53041,0-948284-33-1
74846,0-9805920-9-7
42139,1-308-28940-5
3204,0-08-605195-4
64470,0-14-977882-1
87954,0-04-084779-9
80131,0-89107-429-5
95958,0-13-000354-9
25304,0-89149-540-1
13327,1-108-62745-5
47575,1-68111-641-3
47440,1-391-76109-X
44041,0-614-68658-X
57126,1-59757-375-2
45014,0-624-89050-3
18640,1-893864-27-8
60842,0-643-87820-3
71841,0-534-33879-8
347,0-281-51366-X
16957,1-4708-4905-4
9567,1-4258-1755-6
91975,0-318-27360-8
29605,0-383-08320-6
55661,1-7379213-4-0
37318,0-474-18109-X
80961,0-666-45099-4
16188,0-336-54303-4
28063,1-4516-4118-4
71070,0-588-81434-2
48587,1-947488-02-3
24533,1-62064-123-2
64270,1-286-81604-1
36686,1-68520-228-4
92955,0-18-275524-X
77796,1-70079-170-2
21981,0-316-26254-4
65466,0-211-66546-0
58308,1-121-57000-3
24395,1-197-19811-3
47414,0-603-75753-7
79635,0-278-47536-1
86631,0-555-85065-X
80894,1-07-286234-4
7238,0-949779-79-2
39491,1-390-39594-4
7106,1-75817-005-0
56516,0-209-01395-8
96015,0-304-96533-2
14504,1-02-512574-6
58324,1-64479-985-5
14532,0-293-40693-6
6746,0-664-32174-7
55259,0-229-23978-1
92413,1-931957-82-7
68259,1-151-88359-X
36295,0-8210-0279-1
27213,0-358-53439-9
3012,0-7725-6871-5
58410,1-71849-870-5
4387,0-337-63348-7
29110,1-85622-765-0
41435,1-4277-6420-4
97731,0-7679-2745-1
4095,1-258-85307-8
43904,0-614-88914-6
41779,1-315-51710-8
21400,1-09-766412-0
86789,0-9514400-5-5
76725,1-64758-163-X
14589,1-177-77982-X
6413,0-917037-86-3
74873,1-05-319831-0
58668,1-9763-1799-1
28718,0-621-57424-4
96794,0-269-67356-3
70621,1-01-344485-X
23407,1-4952-7233-8
55580,0-213-64635-8
35553,0-663-09154-3
97231,1-68220-585-1
32295,0-8204-7078-3
88378,1-270-06827-X
46521,1-64251-526-4
85660,1-385-72007-7
71518,1-316-18120-0
35478,0-9629410-7-7
5601,0-389-50115-8
48602,1-05-157572-9
45598,0-203-21127-8
10031,0-500-96447-5
38112,0-450-97338-7
20124,1-55019-391-0
24402,0-9756112-2-4
15127,1-9817-2144-4
80586,0-244-80462-1
2391,1-352-89861-6
47035,0-86181-172-0
71112,1-61122-118-8
88503,0-7368-8436-X
60940,0-89177-900-0
75435,0-8172-8045-6
11220,0-423-23353-X
9675,0-417-25756-2
52506,0-530-90998-7
94648,0-7663-3806-1
77570,1-371-04869-X
86943,0-268-97059-9
53626,1-879575-57-4
301,1-135-14954-2
1146,0-419-82220-8
98725,1-380-00232-X
70439,0-7214-8570-7
97,1-193-85062-2
86467,1-84021-249-7
58745,0-8032-0759-X
74346,0-04-885747-5
43079,0-16-950477-8
69399,1-249-83722-7
96593,1-05-605259-7
83827,1-255-97255-6
90499,1-70079-170-2
25101,1-59842-166-2
6816,0-7651-2720-2
16107,1-330-63142-0
39270,1-56783-051-X
70780,1-335-41256-5
61286,0-12-746575-8
51321,0-14-534082-1
28145,1-84977-397-1
18369,0-476-94370-1
22302,1-70142-845-8
78744,0-699-10096-8
89222,1-67608-874-1
53667,1-236-47725-1
16087,1-55634-381-7
46916,0-88117-192-1
47632,0-398-30870-5
45473,0-941448-43-6
54738,0-01-696623-6
73344,1-83092-125-8
63402,0-932406-40-8
87210,0-89137-550-3
21867,1-392-58097-8
64598,0-7513-4999-2
67429,0-87128-453-7
48547,0-07-975509-7
8553,1-896427-77-4
65940,1-59152-500-4
23757,1-324-51913-4
13832,0-547-48722-3
87098,0-7933-2724-5
62962,1-58065-438-X
91500,1-77704-146-5
10378,0-7095-2080-8
84001,1-81950-619-3
71561,1-4966-9900-9
49199,0-7390-5699-9
85941,1-281-30626-6
92557,0-483-48979-4
83032,1-65170-882-7
83348,0-7501-9533-9
15843,1-80555-166-3
24973,0-8289-6690-7
35097,1-80716-195-1
51874,0-9509962-9-7
1102,1-382-50285-0
77541,1-72127-667-X
2482,1-5459-8819-6
24834,0-01-657318-8
71670,1-219-63842-0
76011,1-72094-350-8
