isbn,author_id
0-07-315873-9,3185
1-335-92758-1,8526
1-928364-94-2,6137
1-84750-898-7,3236
1-61005-165-3,4673
1-5083-2795-5,1207
1-381-61324-1,3694
0-8079-0714-6,7855
1-78859-007-4,1997
0-9554573-8-6,996
0-05-153528-9,7860
0-411-05813-4,2951
1-911880-90-X,1546
0-202-04725-3,538
1-890207-39-X,4671
0-08-803557-3,6170
0-7568-5794-5,6278
1-07-352787-5,4314
0-267-44812-0,1337
0-9930948-5-6,6225
1-84734-361-9,7698
0-621-41433-6,6380
1-384-50935-6,1564
1-57299-418-5,9376
1-7395845-9-7,1989
0-85551-087-0,1248
1-341-65577-6,2745
0-7024-3825-1,2412
1-05-430533-1,1073
0-7459-3863-9,8378
0-646-23388-2,5216
1-72633-898-3,3615
1-250-02051-4,932
1-71880-648-5,3042
0-409-72589-7,7308
0-336-78637-9,1486
0-339-74928-8,6247
1-166-35407-5,6807
0-691-63345-2,5453
0-7780-1743-5,1048
0-402-70346-4,2529
0-06-849099-2,1525
0-686-24953-4,1022
0-378-73150-5,536
0-942354-45-1,8038
0-01-515136-0,8442
0-476-62238-7,2965
0-433-05178-7,6783
0-355-34482-3,9093
0-942364-01-5,2568
1-74415-239-X,357
1-79878-524-2,9680
0-526-73775-1,2318
0-589-43680-5,531
0-06-743470-3,5548
1-58511-444-8,1098
1-77756-315-1,533
0-17-148627-7,1986
0-304-32683-6,8006
0-89444-266-X,6697
0-05-573383-2,2818
1-287-10852-0,7225
0-313-98624-X,3413
0-208-40104-0,4537
1-85318-545-0,2610
1-181-59964-4,3720
1-322-76268-6,6544
0-468-43572-7,887
0-901922-68-4,4972
1-4632-4173-9,294
0-2289-5837-7,8835
1-265-75866-2,3989
0-323-04556-1,3080
0-536-45935-5,5704
0-941720-13-6,3109
1-175-81671-X,6018
1-78816-599-3,8148
1-55348-119-4,2624
1-03-625188-8,554
0-253-73265-4,2024
1-948788-11-X,8261
1-86444-556-4,2814
0-341-16409-7,2890
0-338-70494-9,8784
0-621-42698-9,5941
0-12-705808-7,6731
0-558-86285-3,7502
0-359-17366-7,1018
1-85798-706-3,9522
1-4171-0882-7,2622
1-5457-5590-6,9574
1-04-171236-7,1171
0-940335-35-2,5188
1-70833-402-5,9340
1-63299-010-5,5893
0-550-11179-4,4470
0-227-27210-2,2386
0-576-50016-X,6418
0-9582882-6-7,66
1-332-13880-2,9080
0-576-20418-8,1395
0-08-454622-0,187
1-74496-025-9,9007
1-168-45443-3,9318
1-5493-9169-0,923
0-312-93261-8,4795
0-08-841175-3,9731
0-338-11211-1,2945
1-67545-293-8,6317
1-61967-461-0,8610
0-273-44362-3,5773
0-01-704376-X,373
1-362-62765-8,6138
0-17-989712-8,4547
1-355-15557-6,3895
0-350-21461-1,2368
1-296-68341-9,5875
1-75128-492-1,2377
1-01-365851-5,4806
0-17-543891-9,7385
0-433-19677-7,2212
0-527-86106-5,6940
1-77238-035-0,3147
0-04-758933-7,3212
1-317-69057-5,6366
0-08-452051-5,9839
0-363-36958-9,504
0-483-38574-3,4561
1-938943-62-7,649
0-9897266-6-5,456
1-881240-69-X,8211
0-9869790-0-7,3356
0-348-38360-6,1132
0-941414-90-6,4380
1-86124-256-5,6615
1-68793-088-0,8125
0-7857-8199-4,936
0-85482-759-5,6892
1-396-49561-4,4832
1-7356738-4-6,2216
1-268-49817-3,882
0-7652-6483-8,2096
1-945061-59-6,2812
1-85460-272-1,5940
1-80953-692-8,4797
0-398-45348-9,6692
1-78131-096-3,3202
0-611-96488-0,1386
1-4627-4320-X,1028
0-275-30430-2,5659
1-06-809994-1,9512
0-353-97495-1,3511
0-295-06874-4,9248
0-18-142421-5,8484
0-8067-6328-0,3734
0-935180-49-4,2617
0-7219-8156-9,5942
0-298-82294-6,4365
1-85156-031-9,7328
1-234-16135-4,7522
0-07-896423-7,1310
1-385-23126-2,1843
0-07-533497-6,472
1-67337-101-9,8109
0-932239-31-5,4391
1-04-733446-1,8445
1-67638-728-5,5079
1-5416-1155-1,5407
1-83322-687-9,8882
1-196-20934-0,4954
0-14-226362-1,7577
0-623-12617-6,5502
0-902357-87-5,4010
0-606-44507-2,7449
1-989816-70-3,426
1-04-185717-9,2174
1-9747-2717-3,39
1-75404-076-4,6994
1-4252-4783-0,913
1-303-25861-7,9012
1-181-21723-7,5972
0-17-226716-1,8158
0-8352-2207-1,6666
0-590-58197-X,4749
0-7444-4671-6,3444
0-223-95709-7,7649
1-338-75941-8,8737
1-01-076965-0,1901
0-684-66240-X,7253
0-498-80871-8,6818
1-78370-615-5,4701
1-85853-049-0,6107
0-451-82244-7,2727
0-514-39087-5,4345
0-512-33326-2,2236
1-85695-766-7,8666
0-666-38948-9,4452
0-07-819672-8,1478
1-115-82275-6,4674
1-61289-308-2,4774
0-7466-9295-1,8063
0-483-35804-5,9201
0-13-363589-9,3472
1-943092-63-X,4175
1-222-32135-1,2958
1-72011-952-X,4504
1-55197-789-3,2830
1-4516-4166-4,1741
1-70737-162-8,4182
1-243-71417-4,3088
1-71580-594-1,9976
0-9913964-4-8,6344
1-326-72917-9,8780
0-253-66613-9,2320
1-79143-220-4,5076
1-360-89229-X,6811
1-4857-2142-3,2581
1-02-956174-5,2293
0-09-804513-X,2330
0-7177-6566-0,7501
0-394-77958-4,1099
0-01-636382-5,6588
0-510-60025-5,3334
0-266-90832-2,1387
0-13-421354-8,6948
1-01-404847-8,4412
1-167-02547-4,2466
1-01-716923-3,2265
1-905288-84-0,5588
0-241-85668-X,7768
1-874876-02-9,9899
0-07-652152-4,1682
0-18-911301-4,3443
1-142-82807-7,1132
1-9835-9875-5,6518
0-7032-1679-1,8912
0-7131-4706-7,8762
1-83673-115-9,2701
1-63545-768-8,515
0-8381-0555-6,1683
0-9777240-2-6,122
0-9857275-2-7,4470
1-989814-52-2,5567
1-80485-023-3,7187
1-4034-6184-8,1345
0-7207-1896-1,3155
0-610-58865-6,4888
0-8099-5656-X,371
0-442-90711-7,1292
0-8458-1640-3,6395
1-83584-826-5,484
1-4619-8610-9,8118
1-140-86588-9,6727
1-5306-8470-6,9518
0-02-800689-5,69
1-00-520871-9,6196
0-16-730930-7,2920
0-935239-44-8,3366
0-358-61470-8,9615
1-57472-163-1,1397
1-4668-4445-0,3690
1-56457-717-1,7184
0-8027-2524-4,3973
0-88702-578-1,9604
0-368-23392-8,4133
0-15-090183-6,8044
0-88699-979-0,7173
0-566-66585-9,3355
1-168-31233-7,3431
0-339-26969-3,8387
0-581-92873-3,7688
0-05-926341-5,8735
1-897487-68-1,273
1-03-430188-8,2959
0-562-48323-3,5886
1-287-18755-2,1885
1-83309-016-0,7647
0-677-11561-X,4914
0-7822-1797-4,5774
0-7714-1960-0,610
0-236-87751-8,9743
0-89915-507-3,237
0-12-087358-3,1395
1-66987-344-7,4061
0-918515-53-X,6869
1-278-66231-6,5443
0-370-44533-3,8321
0-00-018370-9,7135
0-05-647571-3,6564
1-271-81834-5,2176
0-19-393779-4,9900
0-08-385583-1,3981
0-87615-690-1,9153
1-82665-933-1,5611
1-76591-236-9,1748
0-9851248-1-4,1904
0-01-365796-8,1587
1-84252-387-2,7390
0-535-59195-0,1179
0-15-498831-6,5343
0-7135-1031-5,5410
0-8166-8374-3,3753
0-86935-528-7,955
0-9727016-5-6,9408
1-882622-46-4,7096
0-7543-3130-X,7536
0-569-36871-5,745
1-70798-363-1,6985
1-06-709171-8,6256
1-65351-509-0,5408
1-905828-01-2,9711
1-61472-120-3,3261
1-04-491607-9,5580
0-905956-24-9,4790
1-07-154915-4,4853
1-156-67987-7,8887
1-08-363103-9,1387
0-447-24704-2,6440
0-7084-6653-2,1271
0-374-03956-9,7083
1-4331-0186-6,1259
1-921647-61-2,1258
1-58106-159-5,7749
1-68058-144-9,5640
0-13-076276-8,4533
1-65235-585-5,8229
1-05-677037-6,7833
0-518-01849-0,2479
1-07-850789-9,1255
1-75631-990-1,5174
1-77960-377-0,8125
1-210-15815-9,1030
1-373-65609-3,220
0-89947-998-7,3416
1-4045-0918-6,8629
0-647-52552-6,6965
0-380-51184-3,5846
1-152-40802-X,6606
1-5359-2300-8,218
0-698-96142-0,6600
1-58838-656-2,1029
1-228-89227-X,5830
1-289-64293-1,1981
0-942012-00-3,4699
0-485-99596-4,135
1-943544-65-4,8615
0-252-20304-6,3173
0-404-03684-8,7383
1-9867-7526-7,8961
1-77323-553-2,7862
1-06-752257-3,7176
0-7369-8075-X,8808
0-17-671810-9,897
1-62667-308-X,3416
0-270-28664-0,5361
1-297-71224-2,5187
1-81980-809-2,9080
0-16-135408-4,7038
1-5264-6487-X,4834
1-80996-751-1,4884
1-4655-9985-1,3405
0-05-687296-8,4701
0-565-87815-8,5331
0-240-87299-1,2774
1-138-88286-0,4351
0-329-99526-X,4672
0-17-920922-1,6517
0-8382-9401-4,5299
1-198-10821-5,8407
0-359-79377-0,5891
0-02-480894-6,6876
1-344-75567-4,6360
1-74266-727-9,1476
1-900011-43-3,2351
1-265-51924-2,936
1-384-36707-1,4966
1-969962-28-3,4951
0-493-87739-8,7334
0-465-20985-8,4160
1-914431-24-3,7076
1-236-18146-8,7011
1-5411-2231-3,7328
1-69050-558-3,543
0-18-853583-7,8265
1-118-76982-1,3627
1-322-42300-8,2627
0-373-27140-9,7674
1-327-86565-3,3612
1-261-75474-3,3523
1-325-73008-4,7055
1-994531-86-X,1075
1-222-04193-6,5304
1-67532-960-5,8685
0-524-08125-5,4807
0-664-15656-8,8637
1-358-50607-8,3291
1-76954-137-3,9647
1-5491-5114-2,3739
1-311-31005-3,4471
1-397-99349-9,2770
0-303-41015-9,701
0-14-739523-2,9268
0-08-415591-4,7632
0-9915736-0-9,1407
0-922935-21-1,3832
0-9513346-1-1,2883
0-936946-54-7,5990
1-01-247104-7,7277
1-315-00360-0,1249
1-4121-4610-0,2505
1-375-61033-3,976
0-910952-72-8,7333
0-307-73565-6,1528
0-386-57827-3,1221
0-948153-82-2,433
0-590-05368-X,9859
1-177-78000-3,7713
0-223-11572-X,5341
0-03-562132-X,160
1-5185-5078-9,7888
1-69984-779-7,337
0-320-25719-3,670
0-404-58232-X,5803
0-85463-536-X,9532
0-338-85176-3,845
1-67217-225-X,6911
1-189-07456-7,2150
0-219-31647-3,2244
0-264-69435-X,3288
1-62383-753-7,3599
0-8047-1399-5,397
0-666-69234-3,1499
0-10-197382-9,2907
0-362-54668-1,2472
0-7717-4029-8,5716
0-548-67137-0,458
0-18-261513-8,4185
1-9761-0609-5,8117
0-500-97127-7,8615
1-293-05617-0,5864
1-200-86781-5,7149
0-7946-3603-9,3641
0-9738791-1-4,7692
1-75303-946-0,953
1-396-88665-6,8000
0-7286-7936-1,8200
0-320-00963-7,9155
1-199-57906-8,4263
0-479-30172-7,7881
0-681-98072-9,1021
0-658-84087-8,6187
1-135-11569-9,7920
1-4677-9682-4,3985
1-07-038346-5,1352
0-89886-134-9,9006
1-03-570041-7,9344
1-4179-7971-2,3905
1-243-73475-2,7242
0-344-38362-8,1790
1-65177-256-8,8524
1-135-10897-8,1546
0-19-012568-3,1458
0-00-665261-1,7419
1-82028-507-3,4902
0-11-309310-1,5913
0-11-907452-4,5181
0-391-00247-3,2421
0-916865-59-2,1394
1-959826-62-X,720
1-69982-970-5,6737
1-5154-5727-3,2564
1-84585-620-1,3915
1-5169-5913-2,9379
1-76493-721-X,1842
1-123-84174-8,9272
0-7123-5470-0,8556
1-4923-1485-4,6305
0-398-65857-9,8175
0-614-43816-0,5075
1-871454-71-9,6266
0-7220-8493-5,7688
0-501-54299-X,4815
1-4794-0216-8,919
1-152-45342-4,4357
1-4440-9536-6,3702
1-58162-136-1,545
1-65341-257-7,9904
1-4820-9526-2,9639
1-120-62975-6,1811
1-01-798722-X,4305
1-84172-379-7,1281
1-352-17311-5,2460
1-01-212131-3,1481
1-186-23616-7,3066
0-10-479234-5,2489
0-621-54534-1,1675
0-8013-5828-0,373
1-4012-6730-0,8264
0-351-16354-9,3012
1-4071-9429-1,7334
1-9821-5015-7,1928
1-81913-576-4,318
0-408-74027-2,2068
1-56750-674-7,8685
1-4280-9740-6,7818
0-448-26529-X,1420
1-4426-6243-3,4435
0-16-979750-3,8503
0-243-14115-7,8828
0-258-81220-6,4110
0-346-99667-8,5375
0-378-35091-9,9436
0-494-37076-9,5057
0-906573-63-7,5458
1-55600-994-1,6238
0-315-48822-0,7623
0-15-447820-2,7552
1-4841-1729-8,4144
0-9818307-8-1,7597
1-9755-4835-3,2471
1-329-18696-6,6207
0-306-33087-3,8277
1-05-514049-2,9892
1-5295-4692-3,9091
1-4159-6860-8,5050
0-9846454-6-2,9808
1-125-01798-8,8213
0-909651-22-1,8830
1-379-63415-6,2445
1-63842-803-4,975
0-332-46808-9,3295
1-937064-02-6,111
1-200-47431-7,427
0-541-94766-4,7348
1-70566-729-5,9409
0-455-80122-3,7493
0-400-02814-X,1230
0-451-09655-X,5497
0-551-72275-4,4643
1-107-77630-9,6432
1-00-584402-X,7913
1-64449-506-6,2062
0-629-64020-3,5073
1-175-73268-0,8246
0-335-70633-9,8275
1-62977-197-X,4709
1-79733-172-8,9832
0-499-41897-2,248
0-686-82577-2,9682
1-00-122073-0,4987
0-676-08602-0,171
0-8114-3778-7,709
0-575-80453-X,5046
0-8090-2010-6,9507
1-160-17138-6,1094
1-60292-862-2,9518
0-9539628-3-0,7313
1-165-35731-3,4473
1-79702-399-3,9539
1-880474-98-0,5510
0-16-237419-4,2251
0-419-19259-X,6997
0-10-857701-5,6083
0-483-13007-9,1732
1-60194-798-4,3654
0-03-992198-0,9945
1-176-29512-8,7363
0-492-33855-8,8696
0-226-75388-3,346
1-04-850499-9,5268
1-243-86253-X,1430
1-954474-80-6,5220
0-237-23971-X,3581
0-9505174-6-1,4996
0-9990748-3-0,3595
1-62664-383-0,4636
1-57374-415-8,4569
1-67119-160-9,2572
0-04-025247-7,4814
0-410-42999-6,4281
1-189-43104-1,4688
1-9850-7767-1,9156
0-306-43527-6,9554
1-01-939931-7,8888
1-55107-979-8,2216
1-369-49223-5,2867
0-8461-3500-0,2349
1-894216-96-2,8843
0-914009-72-9,6410
0-362-28372-9,1936
0-9505032-4-X,3534
1-9737-5438-X,5729
0-515-06956-6,2141
0-7231-3066-3,6325
0-17-945752-7,4918
0-07-739196-9,580
1-77531-998-9,7644
0-384-32541-6,1393
0-670-63335-6,5986
1-4773-9550-4,4999
0-292-95616-9,9900
1-4263-1434-5,1327
1-220-78402-8,6189
1-128-79584-1,2059
1-871076-69-2,6747
0-9590718-1-4,4406
1-4253-6177-3,9449
1-5103-0104-6,7135
0-589-44212-0,7150
0-942423-70-4,2843
0-7398-4774-0,3379
1-988143-47-0,8136
1-910615-47-1,8464
0-7782-8823-4,7902
0-546-90023-2,9235
1-123-84174-8,1475
0-9833867-4-9,8463
1-271-77356-2,9929
0-7329-6722-8,9835
1-937260-13-5,1189
0-330-37316-1,2456
1-84612-884-6,1277
1-5366-0890-4,1772
0-249-02717-8,3069
0-8046-0394-4,8581
0-231-38624-9,4
0-340-36956-6,3978
1-5053-7467-7,9007
1-4959-9029-X,6654
0-86653-745-7,5106
0-524-10372-0,1786
1-153-00383-X,6655
0-8370-5695-0,3180
0-290-98941-8,303
1-62763-717-6,7797
0-9740515-7-8,4681
1-00-232443-2,8411
0-05-389424-3,9091
1-09-747523-9,6099
1-951533-08-9,9973
0-211-60169-1,1550
1-348-43682-4,4760
1-109-28773-9,153
1-78009-189-3,4179
0-8034-6198-4,2164
0-09-574396-0,240
1-02-637962-8,3249
1-200-81778-8,1452
1-334-51205-1,1585
0-328-61701-6,6980
0-211-22618-1,9313
1-4881-5224-1,6296
0-474-53376-X,8498
0-904458-99-7,8391
0-7087-4040-5,2370
1-80279-804-8,2555
1-383-20665-1,6428
1-71611-966-9,8158
1-133-04172-8,8997
1-59869-517-7,7022
1-337-08986-9,8890
1-64464-369-3,6506
0-681-62767-0,9165
0-620-59164-1,7552
0-454-90612-9,5799
1-391-99038-2,9328
0-04-152216-8,8504
0-12-449748-9,6449
0-10-049113-8,5215
0-384-95866-4,8147
1-163-25460-6,3327
1-362-56396-X,3103
0-01-191482-3,1435
1-9749-0560-8,7993
1-899304-56-8,2252
1-934428-37-X,766
1-5011-8720-1,5083
0-461-13658-9,3588
0-12-427700-4,6186
0-927662-71-X,5612
1-195-30266-5,9180
1-80812-947-4,4306
0-526-82385-2,3814
0-570-40378-2,2720
0-903342-95-2,5154
0-284-00172-4,1994
1-101-62232-6,5936
1-66742-843-8,6343
0-485-47206-6,5501
1-05-018101-8,3145
0-18-107279-3,1011
